iteration,timestamp,avg_fitness,general_MAX_CLUSTER_DISTANCE,general_MAX_CLUSTER_JOIN_DISTANCE,populationSize,generations,newChromosomes,eliminator_type,eliminator_elitism,eliminator_survivalRate,eliminator_p,mutator_comp_p,mutator_child1_numMutations,mutator_child1_p,mutator_child1_weight,mutator_child2_numMutations,mutator_child2_p,mutator_child2_weight,crossover_comp_p,crossover_child1_geoP,crossover_child1_crossoverProb,crossover_child1_weight,crossover_child2_geoP,crossover_child2_crossoverProb,crossover_child2_weight,crossover_child3_p,crossover_child3_weight,crossover_child4_k,crossover_child4_p,crossover_child4_weight,crossover_child5_k,crossover_child5_p,crossover_child5_weight,selection_type,selection_tournamentSize,48xxx_random_constraints.job_fitness,51000_rijeka_random_constraints.job_fitness
1,2026-06-17T15:24:09.817278,64.62484759617125,5.511143547386452,15.099063377191852,5000,2000,20,EliteEliminator,8,0.38277690538568926,0.3587938143810303,0.9999964779158835,6,0.20146705471668053,0.2602755265564576,14,0.16231298330980526,0.7001460073129375,0.9999968274725288,0.6403910531204815,0.13484574634011423,0.9862954477066733,0.4201574472549734,0.10383099686127095,0.8603729607152474,0.6674004037387361,0.3237938663747991,6,0.31919639902675745,0.6152761998623506,5,0.5256307674929993,0.3506271464230193,TournamentSelection,3,101.56804626044445,27.68164893189805
2,2026-06-17T15:34:18.902397,59.756476754647665,10.21127191108613,17.89967499285552,200,8000,26,EliteEliminator,4,0.20911432893278814,0.6403697365972947,0.9999995348015019,7,0.8938351998898695,0.79011168,11,0.5858567863797266,0.22692499095127694,0.9999904781792527,0.5736585776427878,0.7944412229441603,0.37714378841882934,0.27006944579868986,0.6131310651631706,0.32173220719230056,0.4805718542499038,0.5656718679388527,4,0.6717204617743249,0.2523489395998361,3,0.5678403494509777,0.5458443287110417,TournamentSelection,2,94.17873019231396,25.334223316981365
3,2026-06-17T15:35:04.985979,60.450160621920176,5.8931576353126705,18.537005390048787,50,2000,6,EliteEliminator,4,0.38819863910322344,0.5737393595787311,0.9999997320697769,7,0.4051785863131532,0.27806984149874175,13,0.45627712334627846,0.4250263775694312,0.9999999690492897,0.2610526384494614,0.8015006132745892,0.8836657124577756,0.14514248043779615,0.3980183849661446,0.8742287035187549,0.6268258296855754,0.8654163409969398,4,0.6765259873982941,0.7276637911336395,6,0.5651256106244934,0.5383431212653706,TournamentSelection,4,94.56833243431171,26.331988809528635
4,2026-06-17T16:07:27.943578,61.12487961364361,9.074308197841253,18.908655276849892,50,500,24,EliteEliminator,10,0.290644322,0.7674913465711214,0.9999955742720364,6,0.5516802985129322,0.12011945867388199,12,0.8745393391925862,0.33422561722931954,0.9999964700626063,0.7605738793541008,0.6440278524245987,0.5291375184141912,0.10334874964904146,0.882132828,0.6443231517548647,0.7816162584157329,0.8881663373367715,7,0.3645408891762971,0.41439124277404527,7,0.8261648866472158,0.11028353305285019,TournamentSelection,5,96.33948891,25.910270316682013
5,2026-06-17T16:15:22.501249,62.83738133141201,7.787872943525479,15.956558818901886,200,8000,18,EliteGeometricEliminator,13,0.23993716367781381,0.723800112,0.9999963429957115,9,0.626282206,0.6505701831850911,10,0.47481245138496375,0.833689427,0.9999932736667017,0.3766523136411125,0.5391330249093637,0.8907001376072333,0.7638091312110356,0.11166362212980126,0.2024210522169703,0.7636009411040695,0.11712258268261223,2,0.6863994767123602,0.3960450633305125,7,0.24786391645754846,0.8070920507530881,TournamentSelection,3,99.38906220342652,26.285700459397507
6,2026-06-17T16:38:55.889106,60.791646385137554,6.977433744593438,18.560166075871695,500,8000,10,EliteEliminator,12,0.061610488,0.427870152,0.9999982594595644,4,0.5582051400987669,0.7213005640127927,6,0.3195931918414323,0.6017908053414212,0.9999984903454179,0.12661401427084368,0.5047044395100229,0.7292072326588203,0.7301181980787079,0.43565533798055944,0.5208905910171395,0.31003549114185047,0.316699042,7,0.8927248350248663,0.4250380036437704,6,0.20071927324215103,0.449308801,TournamentSelection,2,94.47291449744976,27.110378272825344
7,2026-06-17T17:52:04.387687,62.33411020560706,1,20,50,2000,15,EliteEliminator,7,0.48879049439781264,0.1,1,5,0.1,0.1,20,0.1,1,1,0.6600564604020679,0.16844812855639552,1,0.16697392547965711,0.1,1,0.9,0.7531886476825138,8,0.1,1,8,0.3791694951427569,0.1,TournamentSelection,4,97.78523828440031,26.88298212681381
8,2026-06-17T18:37:23.283915,61.17377745,4.2652388724453765,13.012519484316897,5000,2000,21,EliteEliminator,9,0.4259847584148093,0.31765966690355013,0.9999971374212341,5,0.15583228420437006,0.15840756441007248,15,0.10114275771204542,0.7418163650182522,0.9999971386918733,0.7273413913953485,0.1,0.9717749943933913,0.33050927015981924,0.10003219181535578,0.9382296580881657,0.5768941147178522,0.4739536623026164,7,0.17299866901292543,0.6736288138825605,5,0.5578452129124913,0.3302773509597722,TournamentSelection,3,96.73686748,25.610687425283608
9,2026-06-17T18:37:40.750684,59.833513057451405,2.849281506547043,6.538002476943545,50,500,12,EliteEliminator,14,0.2899365716733655,0.2035533955846388,0.9999976175727343,5,0.6597482581433863,0.297538155,17,0.3202440193642969,0.9818815601330633,0.9999956493123158,0.31425291876189165,0.1499080772503516,0.5947789202288712,0.4501549651534241,0.18123086429147636,0.7183197515974188,0.6700267113884769,0.9738148997104483,6,0.3243867881681966,0.587172074,7,0.7862969761633066,0.32319794711243033,TournamentSelection,3,94.14381321680938,25.523212898093433
10,2026-06-17T19:25:53.827593,63.29043694583686,5.132951537972216,15.39703524973818,5000,2000,18,EliteEliminator,8,0.3667867516178196,0.3593004597356314,0.999996571,6,0.24252600123231585,0.31372747002446977,14,0.2014847274933771,0.657300552,0.9999962934231472,0.6046540735121361,0.19665380732229804,0.9646397399723312,0.4490922211111784,0.10610710558824257,0.8469633483071685,0.6832951677040027,0.142726791,6,0.32619295764202094,0.6362972702887248,5,0.5440984666312129,0.398528904,TournamentSelection,3,100.28635933247439,26.294514559199325
